rank,content_id,english_letters,english_words,english_share,has_text_and_logo_boxes,ocr_text
12,9911,70,5,0.7447,True,12.5h长效防晒 COMPREHENSIVEPROTECTIONFOR12HOURSLONG-LASTINGSUNSCREEN 美白防晒霜双持证 Vita SUM 清透防晒霜 SCPEEN SPF50PA+++
13,468,73,12,0.7374,True,Dicora' Urban Fit 西班牙进口 牛奶滋养 浴后发光 Dicora Urban Fit Shower gel VitaminB 杏仁牛奶沐浴露 NUTRITIVEACTIVITY ABEWS 00ml.13.52fl.oz
14,6373,57,7,0.7308,True,Biophytogenesis 百植萃 买就送价值298元礼 焕亮净肤调节痘肌 Biophytogenes SKIN REPAIR Multipde AcidRre Mask
15,1535,91,11,0.7165,True,life-space 会员日 买1减50 买2减110 无需节食 lifespace 大餐救星 Shape B420 Probiotic 每天不到 3块3 15BillionCFU percapsule and the digestion of nutrients 60HARDCAPSULES
16,361,33,3,0.7021,True,GRENDE燃拓 THMALL天明 狂暑季 大降价！ 立即抢购> GRENDE CARBKILLA Soread
17,9514,82,11,0.6833,True,安妍科 elta THAUL天程 mD 狂暑季 SKINCARE 30 领券直降? 深层净颜清透不假滑 氨基酸 泡沫洁面 elta mD SKINCARE FOAMING FACIAL CLEANSER FACIAICLEANSERWITHENTYME 7 foz [207m) 立即加购>
18,6372,17,4,0.6800,True,桃心戒指 Tys Grocery BLUE DOT. 现货包邮
19,8282,70,11,0.6796,True,聚划算 L'OREAL 集团欢聚日 PARiS 巴黎欧莱雅 抢！送7件养肤礼 轻盈润养弹嫩蜜光肌 前往预订> LOREAL PARIS L'OREAL AGE PERFECT NECTARROYAL AGE PERFECT NECTARROYAL
20,5638,69,8,0.6509,True,BLEUNUIT 戴口罩 不怕蹭 待妆持久不闷痘 16小时光泽奶油肌 EUNI BLEUNUT 品保证 官方旗舰店 FLAWLESSNOURISHING HDFOUNDATION PROFESSONAL FORMUA e30m/1.0210z
21,840,38,7,0.6230,True,HAIR/RECIPE 1 聚划算 生姜苹果养根健发 买1套带走4瓶 立即抢购 HAIR RECIPE HAIR RECIPE HAIRRECP
22,7162,48,9,0.6000,True,妆蕾RAY 狂暑季 抢！单盒低至42.3元 必囤尖货限时直降 活动时间：7.14-7.16 RAV Gold Faci ROSE RAY RAY FacialMask RoseFacial Mask
23,2088,34,6,0.5965,True,DESIGN LETTERS MAKF IT PFRSONAI 儿童字母学饮杯 一杯多用 轻松过渡 JIUNIOR 1234 立即抢购
24,2197,34,5,0.5965,True,BodyAid 防脱育发告别掉发 专为防脱人群研制·拯救您的发际线 BodyAid HAIR.LOS CHNGEREXTRACT
25,2089,52,6,0.5843,True,2021S/SSUMMER·HOTSALE 天猫狂暑季 MALL天猫 狂暑季 盛夏/已奎 全场臻品降价 TIME:7.14 - 7.16 立即抢购>> stmmet erazysummerseas every300min
26,8962,23,3,0.5750,True,基阿 GR 布丁studio ARRIVAL 夏季新款软妹慵懒T恤 2021 ARRIVAL
27,4992,30,5,0.5455,True,SHOUYE DAGAO MOJU 工业用/家庭用 百洁布 军工级 耐磨耐用不掉渣 DAGAOMOJU 抢购 一片包邮 CUXIAO
28,2448,24,3,0.5455,True,DeLonghi 天猫狂暑季 预约锁定947元礼 萃取生活本意 DeLonghi DINAMICA
29,3466,14,2,0.5385,True,COTTON ANDLINEN 夏季轻薄 高端弹力透气牛仔
30,4749,49,9,0.5326,True,OSM THALL天猫 狂暑季 欧诗漫 买即送美白7件礼 层层净黑肌肤透光白 立即 查看 ARL LUCENT GESSEN WHITENIN SEN 净透润白精 欧诗漫珍珠白 PEARL LUCENT 5M 01 OSM
31,5299,22,6,0.5238,True,Hmr Wdin WEDDING ave Buy ow 创意气球婚房装饰 不易漏气·氛围感强·配套齐全
32,851,14,2,0.5185,True,德国欧颂 UUbSo 突然宣布 0-12岁i-size款 HERO
33,2247,24,4,0.5106,True,BodyAid 蓬松控油盐净植养 积雪草净澈姜盐洗发膏 BodyAid HoT 0硅油配方 BodyAid
34,1185,24,3,0.5106,True,NEXTWEEKEND LADY'S COLLECTI 时的女生很会买 听说 日本进口面料 原创设计 品质之选
35,5133,75,9,0.5000,True,"THALL天 Naturalpro 狂暑季 纽贝乐 补锌添食欲妈妈更放心 活动时间：7.1400:00-7.1623:59 Naturalpro VD+VA VBi DiefarySupplement Pouder Naturalpro 2罐送 Naturalpro"" 0660006000 葡聚糖益生菌*1盒 （10袋） *具体活动详情以店铺和产品主图为准"
36,3608,31,5,0.5000,True,得伟 DEWALT 天猫狂暑季 一机两用 无刷劲强 252 限时到手 1起 DEWALT 10.8V/XRLI-IOW DEWALT 10.8V/X L-1ON
37,6626,16,2,0.5000,True,VETRESKA 未卡奶茶猫条杯 收集猫吻的神奇猫酱 VETRESKA
38,8763,12,2,0.5000,True,尘颜 CHENYAN DRESS 职场女性专场 点击查看
39,4909,8,1,0.5000,True,BURDERIY 大牌尖货潮流套装
40,4041,33,4,0.4853,True,8G独显超薄本 十代酷睿i5 限时升级PCIE疾速固态 ￥3699 立即抢购 23.46 intel. (intel) COREi5 GRAPHICS 10T8GEN
41,324,32,6,0.4507,True,OPPO K9 对不起 我们降价了！ 65W超级闪充16400超清四摄 至高优惠210 送智能无人机 oppo 09-K Super VIIlA Performance
42,5194,76,6,0.4343,True,雀巢 Nestle 健康科学 HealthSciencex 全面营养 赋能成长 等热卡 瑞士 220mL 国食注字 原娱进口 Y20195004 雀巢Nestle 58% 小佰太能 MCT) PEPTAMEN'JUNOR 100%乳清蛋白 待殊医学用选 肽类配方 全营养配方食品 全营养配方 可作为价一 LrceiiNesresseEAscicykceeTecen 万月1N车：交18202013-23311号
43,7124,56,5,0.4341,True,TALL 狂暑季 限领5元优惠再送益生菌 快来抢购！ FORRiDA 活力达 螺旋藻片 SPIRU SPIRULINATABLETS 遇力送 益生菌固体饮料 净含量：200克 PROBIOTICSSOLIDDRINK 40.25克/月×25%% ≥4000亿R盒 液氮滴冻接术16柠菌 净含：40g0px20
44,1670,11,1,0.4231,True,"狂暑季 DUT-OF-OFFICE 买1送1 自带修容天生“影""家"
45,1344,19,1,0.4222,True,iD定制 媲美职业球队的专业版队服 IDRAW旗舰7系定制 SHAMENG DrW球衣定制 iD定制
46,9061,21,3,0.4118,True,SAMSUNG SAMUNG GalaxyS21+5G 立省 限时特惠 ￥1800 6400万像素130倍变焦 立即抢购>
47,4341,24,3,0.4068,True,HIKVISION|天猫狂暑季 4K超清还原视界本色 既送卡，又送安装 爆款活动直降100元 HIKVISION KIUHD 立即加购>
48,6424,32,4,0.3810,True,TMALL天猫 高顿教育 GOLDEN EDUCATION 2021版 CPA十年真题 ViPCPA> CPA 十年真题 研究手册 会计 2011—2020 200位息6年 下能超50万次临 立即购买>
49,484,22,4,0.3667,True,BodyAid 海盐积雪草清新劲爽 博滴积雪草净澈姜盐洗发膏 Hor 0硅油配方 00 BodyAid 净藏美盐洗发膏 200 FYING
50,3505,11,1,0.3667,True,志高 CHIGO 可移动真空调 全年底价错过等一年 SCHIGO志富
51,7935,11,0,0.3667,True,异种 热门手办 满300减60 实付TOP抢赠ChinaJoy展票
52,661,23,1,0.3651,True,onoU 大促返场 抢245元大礼包 NOLOSonicVR一体机 全尺寸真4k1兼容5000+款SteamVR游戏 1999 立即购买 手价：
53,8681,5,1,0.3571,True,ZMGEY 更多> 3合1按摩套组
54,6449,16,2,0.3556,True,天猫·狂暑季XDEVON大有 无刷电锤 7月14日—7月16日 DEVON 限时秒杀价 519 DEVON
55,3492,8,1,0.3478,True,InAndon 内置话筒混响效果 K歌/观影一机搞定
56,7835,12,2,0.3429,True,MIAOR 强效水润cp 层层滋养弹润在线 【水乳套装】 MIAOR|天猫官方旗舰店
57,1707,7,1,0.3333,True,feica 徕卡M10-R相机 限时礼赠原装电池
58,8345,20,3,0.3175,True,TMALL天猫 狂暑季 1万公里换油 99 全合成机油 低至 SN5W-304升 /桶 Doblu 诺贝润 APISN 5W-30 全合成汽油机油 净含量：4L
59,7759,13,2,0.3171,True,湖雪 TAIHUSNOW SILK 万人推荐蚕丝被 一套蚕丝被四季随心换 中国蚕丝被上市企业
60,5760,15,2,0.3125,True,UUpSO THAL天锈 欧颂官方旗舰店 狂暑季 360 旋转 i-sSize 德国原版 突然宣布半价 0-12岁旋转
61,8462,14,1,0.3111,True,UNISKIN优时颜 抚纹紧致绽放双眼魅力 *活动时间：7月14日-7月16日 限时 优惠* UNISKIN
62,8772,21,2,0.3088,True,动力火车超值狂欢 好酒爆款折上折 天猫618 抢先加购 BestieDay 第二零 6月3日起江苏卫视每周四17点档 YOUKU I联AE名吉科ICON
63,3450,4,1,0.3077,True,包邮 无海绵×大胸显小 HSIA·
64,3750,26,4,0.3059,True,Hasee 神舟 赢在价值·乐在分享 intel) COREi5 英特尔酷睿i5 战神TX7-CU5DS 十代英特尔酷睿i5/16.1时72%色域IPS屏 领券购机优惠500元 5299 活动价￥： 点击购买
65,4286,37,6,0.3033,True,SUMMR 2021 夏不为利冰感束胸 后惠无期暗伴你度过狂暑季 7月14日—7月16日0点—1点 限时限量活动价再打 品类券 满300-30 满500-50 不叠加： 清仓系列： dlr nerwhu y Zhaan 限量 2件6折 MORE PREFERENTIAL 先领券X再购物 3件5折
66,5292,10,2,0.3030,True,Midea 智慧生活可以更美的 1人仅限 1台 真的抢疯了！ 沙捡漏 Midea
67,1041,17,2,0.2881,True,天猫超市 爆款直降 52度浓香型白酒选择剑南春 NNANOE 中国名酒 剑劍南睿 JIANNANCHUN 四川跨竹剑岗春酒厂有限公鸭
68,6595,21,4,0.2877,True,THALL 冷酸灵 狂暑季 专业抗敏护龈健齿 9只 前5000件一次带走 立即抢购> PHY 天然 清火益齿 极地白 极地爽 POLAR|双重 WHITE抗敏 ICE 冷酸灵 冷酸灵
69,1899,23,1,0.2840,True,天猫狂暑季最宠Radine 抢！ 直降160元 多口味猫条10g*50支*3桶 活动时间：7月14日7月16日 宠物零食猫条 Tuna 最宠 NetWeight净含量：500g(10gx50)
70,5751,13,1,0.2826,True,NATASHADENONA 狂暑季 深邃冷棕消肿百搭 入会领券减60 买1享3 券后价508~ 断货王 回归
71,5090,23,3,0.2771,True,拉面说 17吃货节 立减30元 小龙虾拌面 Newproducts 新品 2020 全网拉面交易指数TOP1 RAMEN TALK 数据来源于生意参谋后台系统，统计时间2020.2-2021.2
72,3359,13,3,0.2766,True,icoo iGQ0U3 iGOOU3 元超高性价比学生手机 限时下单至高省250元 学生赠双肩包立即抢购>
73,6879,11,2,0.2750,True,HONOR 荣耀50SE (5G 重磅新品上市「1亿像素超清摄像 2399元起立即预定> NOR
74,163,13,2,0.2708,True,PENGUIN MARKET 五大产区 六种风味 新鲜现磨 赠野生 植物奶*1 挂耳包 产地精莲 低至3.9/包 立即抢购
75,2507,10,2,0.2703,True,MIAOR 至美光耀小黑瓶/肤质修护专家 时光新灯精华液 MIAOR|天猫官方旗舰店
76,8631,12,1,0.2667,True,MEUNIER 海菲秀ELITE水漾焕肤 恢复肌肤 28天 健康周期 所有的美 都是从|清洁」开始！ 可做部位：
77,7638,8,1,0.2667,True,GCHVODON 折开抢 7月14日-16日 16叶桨划船机 立即抢购
78,8972,9,1,0.2647,True,BREITLING 1884 百年灵 电商专供 全球限量 入会领取200元礼券
79,9007,5,0,0.2632,True,yoyu永裕旗舰店 O甲醛地板 铺好就能住
80,3218,9,1,0.2571,True,torsmell 芬尚 蓝色海洋的自然之旅 芬尚浅蓝男士香水 累计已售 68W件
81,2245,9,1,0.2500,True,hegn甘 选好糖用禾甘 高品质天然零卡糖 hegn 零卡糖 零卡糖 净含量320g
82,2144,8,1,0.2500,True,捷宸数码专营店 BYON宝辉 用台好的很有必要 100天包退换 EXON
83,3028,6,1,0.2500,True,WANAVI “好水晶还是要抢的 万一涨价了呢 点击了解>
84,7648,4,0,0.2500,True,YUYU悠悠 突然宣布降价 抢到！ 赚到！
85,5310,11,3,0.2444,True,icoo iC00U3 限时下单至高省250元 入会购机赠耳机/双肩包 ￥1248起1立即抢购 icoo
86,2333,16,1,0.2162,True,天猫超市 「北海牧場 健康控糖新主张 1件8折 北海牧玛 原味0蔗糖 燕糖也好味 风味发酵乳 净含量 RIDTURHENTEDMILK 原味0蔗糖风味发酵乳 净含量：100克
87,4243,9,0,0.2143,True,国淘宝心选「聚划算 领券立减70元 #德国coolnight凉感科技 #艾草驱蚊 到手价159.9元
88,7555,6,1,0.2143,True,FUYANG 超声波清洗机 各种款式规格均有 支持定制<<< 立即抢购
89,6700,6,0,0.2143,True,Tineco添可 多重清洁模式 全屋立体清洁 预约赠刀筷消毒机>
90,6184,5,1,0.2083,True,明牌珠宝 MinGR 全场三期免息 88会员折上95折
91,84,5,0,0.2083,True,TMALL天猫 狂暑季 夏日大放价 14号当天全店9折
92,2743,11,2,0.1930,True,芯烨官方专卖店 80MM厨房打印机 “来单提醒自动切纸 J85.00 298.00 22:5400 Xprinter 3分钟上手 不再麻烦！
93,7754,5,1,0.1923,True,OGP×【元气喷雾】 随时抗氧化肌肤元气满满 净含量：300ml
94,1600,7,0,0.1892,True,TMALL天猫 麒安车品专营店 狂署季 LS2碳纤维全盔 顺丰包邮 极速发货 货疯狂减
95,6423,9,1,0.1875,True,粤浪 音响 降价卖！ YUELANG 恭喜您赶上了 <IP网络音柱5折起> 适用于：校园/小区/景区/工厂/超市等 电源线 网线
96,817,5,1,0.1852,True,TSHOK 优视达广告屏 恭喜赶上降价了！ 顺丰包邮 了免费排版
97,469,9,2,0.1698,True,今天猫小黑盒 HONOR 来这里 逛新品 荣耀50 Pro 5G 1亿像素超清摄像110亿色超曲屏 3699元起1立即抢购>
98,1269,6,1,0.1622,True,CAiN 唤醒肌肤 极致热爱 万物皆可瘾 肤沐浴罩 【可瘾血色黎明润肤沐浴露】 400ml
99,5837,5,1,0.1515,True,Midea 智慧生活可以更美的 突然宣布降价 专业级母婴 消毒柜 限时抢购中>
100,6089,7,1,0.1429,True,TCL 1人仅限1台 2GB+16GB全面屏电视 至高立减1000元 抢鲜加购 注：活动具体以商品详情页规则为准
101,129,3,0,0.1154,True,我们降价了！！ ins风万年历 02 2022 2022 2022
102,4679,3,0,0.0938,True,pwu丨朴物大美 高能修复受损发救星 限时买1送1！ 累积热销 349万颗+
103,7447,4,1,0.0870,True,V4INK 可开专票 买3送1/买5送2 京瓷1020/1025专用 顺丰速发 巴川碳粉 实付满199送风扇
104,9597,3,0,0.0789,True,鲸特 官方正品 没比 输过 亮度 鲸特 无线LED大灯 原车1:1开模设计 解决杂乱线路的烦恼
105,978,0,0,0.0000,True,百年穆氏 大降价！ 百平移氏 腰椎贴 百千移氏 艾草颈椎贴 15 贴装 产地，好艾做好贴 贴装 好艾草，看产地好艾做好贴
106,9379,0,0,0.0000,True,水井坊官方旗舰店 活动下单享小酒3瓶 立即购买> 源自600年 8888888880 多第一坊阁 $第一坊5 井坊 多第一坊奶 图坊图坊 理性饮酒杜绝酗酒禁止向未满18岁消费者出售
107,7790,0,0,0.0000,True,芯福健 全自动气水式 鼻腔清洗机+清洗剂 鼻腔粘膜表面清洗 鼻腔日常卫生护理 芯福健 二类医疗器械 产品名称金白动气水式鼻胶清洗机产品注册证号：粤械注准2016214021日 药监注册 生产企业：中山端疆医疗器林科技有限公司国校广市（文）第号 结构及坦成：由消洗器和清洗对组成。清洗馨由古式主机，洗鼻明件（消英瓶，鼻革、螺技前气管） 活用范属：活用于异腔粘膜表面清洗来整日带卫生护理。 请仔经旧读产品说用书或者在医务人员的指导下购买和世用。禁忌内客或者注意事场详见说明书， 电源适配器妇成。选漂剂主要成份为海带，
108,6062,0,0,0.0000,True,歌德老酒行 吃货节 瓶瓶都保真 购物金 襄折上新 贵似茅台海 贵似茅台 贵似茅台酒 贵茅台湾
109,6013,0,0,0.0000,True,茶锦记 茶锦记家居旗舰店 轻奢家用茶盘 德国电木搭配乌金石 新用户拍下专享优惠
110,5934,0,0,0.0000,True,5/13 上新 筱筱兔
111,4396,0,0,0.0000,True,累计热卖81886床 真蚕丝！ 飞湘溪坊 专注正宗 立即抢购>
112,3878,0,0,0.0000,True,专注高端连衣裙
113,3817,0,0,0.0000,True,煮茶器电茶炉 网红电陶炉 点击购买
114,2919,0,0,0.0000,True,狂暑季 天猫狂暑季×喜仕捷店庆 2周年感恩回馈 千元红包任性抽
115,2680,0,0,0.0000,True,狂署季 地球村 下单立减30 检测盒*2
116,2561,0,0,0.0000,True,雅蘭 抢！99元换购 家纺 直降1900元
117,2548,0,0,0.0000,True,天壹传动科技 蜗轮蜗杆 减速机 厂家直销 当天发货 质保一年
118,2508,0,0,0.0000,True,
119,2290,0,0,0.0000,True,狂署季 地球村 2套立省258 检测盒*2
120,1337,0,0,0.0000,True,甜樱童品 轻奢夏日连衣裙 专注6-16发品质女童
